stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
46027,5402955A,"TOMBLAINE Collège Jean Moulin et lycées",,48.6973249,6.2153401,,,0,65205,,
67354,67354,"Mongambe",,48.7403599,6.0124301,,,1,,,
45802,5401992A,"AINGERAY Mongambé",,48.7405249,6.0120371,,,0,67354,,
46002,5402450A,"AINGERAY abri lot Mongambé",,48.7401949,6.0128231,,,0,67354,,
67393,67393,"Village",,48.7391154,6.0027906,,,1,,,
45803,5401993A,"AINGERAY Village / Ecole",,48.7390649,6.0028351,,,0,67393,,
45804,5401994A,"AINGERAY Village",,48.7391659,6.0027461,,,0,67393,,
68803,68803,"Gare SNCF",,48.6785208,5.8817424,,,1,,,
46298,5403840A,"TOUL Gare SNCF",,48.6788693,5.8805663,,,0,68803,,
68827,68827,"Majorelle",,48.6914051,5.8971511,,,1,,,
46288,5402325A,"TOUL Arret Majorelle",,48.6912809,5.8969151,,,0,68827,,
46289,5402326A,"TOUL Arret Majorelle",,48.6915209,5.8974041,,,0,68827,,
71067,71067,"Avancée porte de Metz",,48.6790769,5.8941411,,,1,,,
45949,5402315A,"TOUL Avancée Porte de Metz",,48.6790059,5.8938971,,,0,71067,,
71077,71077,"Rue de Chambray",,48.7345319,5.9811571,,,1,,,
45997,5402387A,"VILLEY-SAINT-ETIENNE Rue de Chambray",,48.7345319,5.9811571,,,0,71077,,
71078,71078,"Rue de Liverdun",,48.7314409,5.9784231,,,1,,,
45998,5402388A,"VILLEY-SAINT-ETIENNE Rue de Liverdun",,48.7314409,5.9784231,,,0,71078,,
75538,75538,"Cités",,49.4456933,5.8352221,,,1,,,
44693,5400465A,"MORFONTAINE Cités - Groupe scolaire",,49.4455153,5.8349921,,,0,75538,,
101930,101930,"LEXY Stade",,49.5036233,5.7340581,,,1,,,
46132,5404375A,"LEXY Stade",,49.5034253,5.7339541,,,0,101930,,
46133,5404376A,"LEXY Stade",,49.5038213,5.7341621,,,0,101930,,
101932,101932,"PIERRE-PERCEE Village",,48.4691294,6.9319385,,,1,,,
45125,5401065A,"PIERRE-PERCEE Village",,48.4690979,6.931936,,,0,101932,,
45126,5401066A,"PIERRE-PERCEE Village",,48.4691609,6.931941,,,0,101932,,
101933,101933,"MONTOIS-LA-MONTAGNE Sablemat",,49.2143792,6.0130301,,,1,,,
46218,5404753A,"MONTOIS-LA-MONTAGNE Sablemat",,49.2143472,6.0130081,,,0,101933,,
46219,5404754A,"MONTOIS-LA-MONTAGNE Sablemat",,49.2144112,6.0130521,,,0,101933,,
101934,101934,"CHAMBLEY-BUSSIERES LES BARAQUES",,49.0504882,5.9316441,,,1,,,
44589,5400135A,"CHAMBLEY-BUSSIERES LES BARAQUES",,49.0504882,5.9316441,,,0,101934,,
101938,101938,"SAINT-JULIEN-LES-GORZE Lavoir",,49.0171182,5.9020171,,,1,,,
44724,5400542A,"SAINT-JULIEN-LES-GORZE Lavoir",,49.0171182,5.9020171,,,0,101938,,
101939,101939,"AUDUN-LE-TICHE Collège E. ZOLA",,49.4734513,5.9437091,,,1,,,
46225,5404765A,"AUDUN-LE-TICHE Collège E. ZOLA",,49.4734513,5.9437091,,,0,101939,,
101942,101942,"SAINTE-MARIE-AUX-CHENES Mines IDA",,49.1981102,6.0079711,,,1,,,
46217,5404752A,"SAINTE-MARIE-AUX-CHENES Mines IDA",,49.1981102,6.0079711,,,0,101942,,
102113,102113,"CONS-LA-GRANDVILLE CONS LA GRANDVILLE Haut fournea",,49.4867068,5.7003021,,,1,,,
46227,5404775A,"CONS-LA-GRANDVILLE CONS LA GRANDVILLE Haut fournea",,49.4867063,5.7003091,,,0,102113,,
102214,102214,"DOMBASLE-SUR-MEURTHE Levassor Rue de Blainville",,48.6061949,6.356544,,,1,,,
46127,5404350A,"DOMBASLE-SUR-MEURTHE Levassor Rue de Blainville",,48.6061949,6.356544,,,0,102214,,
103024,103024,"MOYEUVRE-GRANDE Froidcul - Eglise",,49.2578653,6.0153381,,,1,,,
46226,5404770A,"MOYEUVRE-GRANDE Froidcul - Eglise",,49.2578653,6.0153381,,,0,103024,,
103474,103474,"Leroux",,49.157063,5.3922648,,,1,,,
44549,5510103A,"Tour du Champ",,49.1571112,5.3923171,,,0,103474,,
103943,103943,"Vauban",,48.6714359,5.8916841,,,1,,,
45948,5402314A,"TOUL Théâtre du Moulin",,48.6714359,5.8916841,,,0,103943,,
103948,103948,"VILLERUPT Ecole primaire Curie",,49.4583743,5.9280281,,,1,,,
46108,5404249A,"VILLERUPT Ecole primaire Curie",,49.4583743,5.9280281,,,0,103948,,
104136,104136,"Gare SNCF",,48.3780239,6.301422,,,1,,,
46067,5403740A,"CHARMES Gare SNCF",,48.3781379,6.301316,,,0,104136,,
104431,104431,"Cinema",,48.6185831,6.176863,,,1,,,
45512,5401601A,"LUDRES Cinéma",,48.6178579,6.1763391,,,0,104431,,
45513,5401602A,"LUDRES Cinéma",,48.6192419,6.1772851,,,0,104431,,
